"RefDes";"Name";"Value"
"C1";"DNFCap_5.08";"100nF"
"C2";"EPCRCap_2.54/5.08";"100uF"
"C3";"EPCRCap_2.54/5.08";"100uf"
"C4";"DNFCap_5.08";"100nF"
"C5";"DNFCap_5.08";"100nF"
"C6";"DNFCap_5.08";"100nF"
"C7";"DNFCap_5.08";"100nF"
"D1";"1N4007";""
"DS1";"WINSTAR_WH1602_v1";""
"J1";"HDR-1x2";""
"J2";"HDR-1x2";""
"J3";"HDR-1x2";""
"J4";"4840-2211";""
"L1";"IND";"100uH"
"PH1";"Photo_res";""
"PS1";"CR2032_Holder";""
"Q1";"BC547_v2";""
"R1";"Res_0.125W_7.62";"10k"
"R2";"Res_0.125W_7.62";"10k"
"R3";"3252W";"10k"
"R4";"Res_0.125W_7.62";"5.1k"
"R5";"Res_0.125W_7.62";"5.1k"
"R6";"Res_0.125W_7.62";"5.1k"
"R7";"Res_0.125W_7.62";"5.1k"
"R8";"Res_0.125W_7.62";"5.1k"
"R9";"Res_0.125W_7.62";"1k"
"R10";"Res_0.125W_7.62";"100"
"R11";"Res_0.125W_7.62";"100"
"S1";"7mm_tactile_button";""
"S2";"7mm_tactile_button";""
"S3";"7mm_tactile_button";""
"U1";"ATmega8-16PI";""
"U2";"L78L05";""
"U3";"DS3231";""
"U4";"DHT11";""
